Cód. Município,Qtde Municípios,Nome do Município,UF,Número e Ano,Categoria,Qtde de Papéis,Papel do Estado,Classificação da instituição do AMI
1100049,1,CACOAL,RO,311 / 2021,Projeto de LMI,1,Facilitador,Instituição de incentivos à inovação e pesquisa
1100205,1,PORTO VELHO,RO,698 / 2017,Lei de inovação,1,Facilitador,Instituição de escritório virtual ou coworking
1200401,1,RIO BRANCO,AC,2315 / 2019,Lei de inovação,1,Facilitador,Instituição de escritório virtual ou coworking
1301209,1,Coari,MS,8 / 2020,Lei de inovação,1,Facilitador,"Instituição de sistemas, mecanismos e incentivos dentro do ecossistema"
2304400,1,FORTALEZA,CE,10409 / 2015,Lei de inovação,1,Facilitador,Instituição de incentivos à inovação e pesquisa
2311801,1,Russas,CE,1985 / 2022,Lei de inovação,1,Facilitador,Instituição de investimento em startups
3146107,1,Ouro Preto,MG,21 / 2018,Lei de estimulo à inovação,1,Facilitador,Instituição de estímulos às empresas de tecnologia
3301009,1,CAMPOS DOS GOYTACAZES,RJ,3 / 2018,Decreto de inovação,1,Facilitador,Decreto de inovação
3303302,1,NITEROI,RJ,3087 / 2014,Lei de inovação,1,Facilitador,Instituição da politica de inovação
3306305,1,VOLTA REDONDA,RJ,5858 / 2021,Lei de inovação,1,Facilitador,Instituição de politica de CT&I com instrumentos básicos
3500105,1,ADAMANTINA,SP,4124 / 2022,Lei de inovação,1,Facilitador,Instituição de incentivos à inovação e pesquisa
3502804,1,ARACATUBA,SP,16993 / 2013,Decreto de inovação,1,Facilitador,Decreto de inovação
3502804,1,ARACATUBA,SP,18287 / 2015,Decreto de inovação,1,Facilitador,Decreto de inovação
3502804,1,ARACATUBA,SP,18911 / 2016,Decreto de inovação,1,Facilitador,Decreto de inovação
3502804,1,ARACATUBA,SP,19829 / 2018,Decreto de inovação,1,Facilitador,Decreto de inovação
3503208,1,ARARAQUARA,SP,10313 / 2021,Lei de inovação,1,Facilitador,Instituição de politica de CT&I com instrumentos básicos
3509205,1,CAJAMAR,SP,1356 / 2009,Projeto de LMI,1,Facilitador,Instituição de outras ações
3513009,1,Cotia,SP,2170 / 2021,Lei de inovação,1,Facilitador,Instituição da politica de inovação
